HPO_label,HPO_term
Crohn's disease,HP:0100280
Abnormality of the gastrointestinal tract,HP:0011024
Abnormality of the digestive system,HP:0025031
Abnormal abdomen morphology,HP:0001438
Abnormal intestine morphology,HP:0002242
Abnormality of the small intestine,HP:0002244
Inflammation of the large intestine,HP:0002037
Abnormal large intestine morphology,HP:0002250
Colitis,HP:0002583
Abnormal ileum morphology,HP:0001549
Weight loss,HP:0001824
Pain,HP:0012531
Erythema,HP:0010783
Elevated hepatic transaminase,HP:0002910
Abnormality of the skin,HP:0000951
Abnormality of the integument,HP:0001574
Poor appetite,HP:0004396
Oral ulcer,HP:0000155
Esophagitis,HP:0100633
Diarrhea,HP:0002014
Hematochezia,HP:0002573
Bloody diarrhea,HP:0025085
Allergy,HP:0012393
Abdominal pain,HP:0002027
Eczema,HP:0000964
Eczematoid dermatitis,HP:0000976
Inflammatory abnormality of the skin,HP:0011123
Fatigue,HP:0012378
Cough,HP:0012735
Abnormal duodenum morphology,HP:0002246
Anxiety,HP:0000739
Abnormal stomach morphology,HP:0002577
Abdominal mass,HP:0031500
Recurrent aphthous stomatitis,HP:0011107
Malabsorption,HP:0002024
Celiac disease,HP:0002608
Gastritis,HP:0005263
Abnormality of head or neck,HP:0000152
Abnormality of the head,HP:0000234
Abnormality of the respiratory system,HP:0002086
Skin rash,HP:0000988
Abnormal paranasal sinus morphology,HP:0000245
Sinusitis,HP:0000246
Acute sinusitis,HP:0000255
Abnormality of the face,HP:0000271
Eosinophilia,HP:0001880
Abnormality of the upper respiratory tract,HP:0002087
Stercoral ulcer,HP:0012425
Ulcerative colitis,HP:0100279
Abnormality of the maxillary sinus,HP:0430023
Elevated circulating C-reactive protein concentration,HP:0011227
Bowel urgency,HP:0012701
Abnormality of the genitourinary system,HP:0000119
Abnormality of the urinary system,HP:0000079
Anemia,HP:0001903
Headache,HP:0002315
Microcytic anemia,HP:0001935
Abnormality of connective tissue,HP:0003549
Constipation,HP:0002019
Abnormal joint morphology,HP:0001367
Abnormality of the skeletal system,HP:0000924
Lactose intolerance,HP:0004789
Abnormal circulating carbohydrate concentration,HP:0011013
Elevated erythrocyte sedimentation rate,HP:0003565
Abnormal erythrocyte sedimentation rate,HP:0025021
Abnormality of the liver,HP:0001392
Fractures of the long bones,HP:0003084
Fractured forearm bones,HP:0003961
Lytic defects of the forearm bones,HP:0003963
Lytic defects of the radius,HP:0003979
Viral hepatitis,HP:0006562
Hepatitis,HP:0012115
Abnormality of the bladder,HP:0000014
Abnormality of the lower urinary tract,HP:0010936
Abnormality of the ureter,HP:0000069
Vesicoureteral reflux,HP:0000076
Limb pain,HP:0009763
Duodenal ulcer,HP:0002588
Arthralgia/arthritis,HP:0005059
Abnormality of the cardiovascular system,HP:0001626
Abnormality of the vasculature,HP:0002597
Migraine,HP:0002076
Abnormal head blood vessel morphology,HP:3000036
Migraine without aura,HP:0002083
Arthralgia,HP:0002829
Increased body weight,HP:0004324
Abnormality of limb bone morphology,HP:0002813
Abnormality of limbs,HP:0040064
Tension-type headache,HP:0012228
Respiratory distress,HP:0002098
Breathing dysregulation,HP:0005957
Facial erythema,HP:0001041
Lower limb pain,HP:0012514
Abnormality of the menstrual cycle,HP:0000140
Oligomenorrhea,HP:0000876
Paralysis,HP:0003470
Behavioral abnormality,HP:0000708
Abnormality of the nose,HP:0000366
Abnormality of the mouth,HP:0000153
Abnormal oral cavity morphology,HP:0000163
Abnormality of vitamin B12 metabolism,HP:0004341
Abnormality of the upper limb,HP:0002817
Abnormality of the elbow,HP:0009811
Hyperkinetic movements,HP:0002487
Muscle spasm,HP:0003394
Atopic dermatitis,HP:0001047
Tenesmus,HP:0012702
Anal pain,HP:0500005
Abnormality of the lower limb,HP:0002814
Pallor,HP:0000980
Tachycardia,HP:0001649
Iron deficiency anemia,HP:0001891
Gastrointestinal hemorrhage,HP:0002239
Dry skin,HP:0000958
Nasal congestion,HP:0001742
Cow milk allergy,HP:0100327
Abnormal gastric mucosa morphology,HP:0004295
Depression,HP:0000716
Psoriasiform dermatitis,HP:0003765
Epidermal thickening,HP:0011368
Abnormality of the orbital region,HP:0000315
Abnormality of the eye,HP:0000478
Abnormal uvea morphology,HP:0000553
Uveitis,HP:0000554
Inflammatory abnormality of the eye,HP:0100533
Arthropathy,HP:0003040
Arthritis,HP:0001369
Arthralgia of the hip,HP:0003365
Hip pain,HP:0030838
Nausea,HP:0002018
Paresthesia,HP:0003401
Psoriasiform lesion,HP:0025526
Anorexia,HP:0002039
Chronic pain,HP:0012532
Leukocytosis,HP:0001974
Abnormality iris morphology,HP:0000525
Iritis,HP:0001101
Abnormal anterior eye segment morphology,HP:0004328
Anterior uveitis,HP:0012122
Abnormality of the immune system,HP:0002715
Disproportionate short stature,HP:0003498
Short stature,HP:0004322
Abnormal rectum morphology,HP:0002034
Intussusception,HP:0002576
Gastrointestinal obstruction,HP:0004796
Intestinal obstruction,HP:0005214
Mechanical ileus,HP:0010676
Intestinal bleeding,HP:0002584
Lymphocytosis,HP:0100827
Fever,HP:0001945
Neoplasm of the oral cavity,HP:0100649
Intestinal polyp,HP:0005266
Thrombocytosis,HP:0001894
Short finger,HP:0009381
Small finger,HP:0030033
Small intestinal stenosis,HP:0012848
Pustule,HP:0200039
Edema,HP:0000969
Vomiting,HP:0002013
Unexplained fevers,HP:0001955
Abnormality of the nervous system,HP:0000707
Morphological central nervous system abnormality,HP:0002011
Unusual CNS infection,HP:0011450
Small intestinal polyp,HP:0012737
Papule,HP:0200034
Gastroesophageal reflux,HP:0002020
Verrucae,HP:0200043
Intestinal edema,HP:0005225
Abnormal foot morphology,HP:0001760
Abnormality of the plantar skin of foot,HP:0100872
Juvenile rheumatoid arthritis,HP:0005681
Esophageal ulceration,HP:0004791
Dysphagia,HP:0002015
Abnormal pelvic girdle bone morphology,HP:0002644
Oral-pharyngeal dysphagia,HP:0200136
Joint swelling,HP:0001386
Enlarged joints,HP:0003037
